Date,BTC,ETH,LTC,XRP
2019-05-02 10-PM,5385,159.3,72.45,0.2958
2019-05-02 09-PM,5392.91,159.24,72.26,0.2964
2019-05-02 08-PM,5397.8,158.86,72,0.2964
2019-05-02 07-PM,5404.15,157.88,71.95,0.2959
2019-05-02 06-PM,5399.38,157.13,71.82,0.2953
2019-05-02 05-PM,5386.04,157.72,71.44,0.2959
2019-05-02 04-PM,5395.27,157.4,72.14,0.2961
2019-05-02 03-PM,5377.1,158.41,71.98,0.2956
2019-05-02 02-PM,5408.33,157.61,72.43,0.2965
2019-05-02 01-PM,5377.89,158,72.05,0.2956
2019-05-02 12-PM,5374,157.91,72.57,0.2972
2019-05-02 11-AM,5368.54,158.31,72.86,0.2982
2019-05-02 10-AM,5368.48,158.17,72.56,0.2994
2019-05-02 09-AM,5355.85,158.34,72.38,0.299
2019-05-02 08-AM,5345.24,159.45,72.43,0.2987
2019-05-02 07-AM,5375.4,159.26,73.08,0.3
2019-05-02 06-AM,5338,158.84,73.05,0.299
2019-05-02 05-AM,5326.54,158.89,72.81,0.2995
2019-05-02 04-AM,5326.62,158.32,72.34,0.2984
2019-05-02 03-AM,5320.1,158.76,72.48,0.2978
2019-05-02 02-AM,5327.94,157.9,72.57,0.2989
2019-05-02 01-AM,5323.19,158.11,72.16,0.2975
2019-05-02 12-AM,5317.18,157.72,71.88,0.2983
2019-05-01 11-PM,5318.38,158.3,72.28,0.2987
2019-05-01 10-PM,5318.42,157.52,72.53,0.2988
2019-05-01 09-PM,5296.16,157.25,71.92,0.2983
2019-05-01 08-PM,5293.37,157.5,71.83,0.2987
2019-05-01 07-PM,5304.37,157.51,71.74,0.2985
2019-05-01 06-PM,5300.97,158.72,72.07,0.2975
2019-05-01 05-PM,5307.25,160.23,72.53,0.2985
2019-05-01 04-PM,5350.72,158.91,73.61,0.3015
2019-05-01 03-PM,5289.89,158.44,71.95,0.2992
2019-05-01 02-PM,5295.81,159.06,72.33,0.2994
2019-05-01 01-PM,5282.78,158.36,72.06,0.2988
2019-05-01 12-PM,5288.93,158.56,71.49,0.2976
2019-05-01 11-AM,5290.43,159.3,71.69,0.2974
2019-05-01 10-AM,5313.73,159.08,72.44,0.3003
2019-05-01 09-AM,5304.85,159.03,72.33,0.3005
2019-05-01 08-AM,5304.61,158.71,72.34,0.2995
2019-05-01 07-AM,5289.35,160.18,72.03,0.3
2019-05-01 06-AM,5307.01,160.46,72.99,0.3029
2019-05-01 05-AM,5320.5,159.77,73.4,0.3038
2019-05-01 04-AM,5318,159.74,73.31,0.3041
2019-05-01 03-AM,5313.34,160.66,72.81,0.3032
2019-05-01 02-AM,5316.35,160.97,73.2,0.3039
2019-05-01 01-AM,5324.55,160.77,73.22,0.3048
2019-05-01 12-AM,5301.01,161.4,73.21,0.3058
2019-04-30 11-PM,5298.3,160.06,73.8,0.3063
2019-04-30 10-PM,5269,160.48,73.17,0.3049
2019-04-30 09-PM,5284.36,157.64,73.88,0.307
2019-04-30 08-PM,5258.95,156.6,73.16,0.3062
2019-04-30 07-PM,5238.18,155.99,72.13,0.3049
2019-04-30 06-PM,5234.42,156.7,71.66,0.3046
2019-04-30 05-PM,5250.27,156.71,72,0.3059
2019-04-30 04-PM,5229.15,156.92,71.71,0.3043
2019-04-30 03-PM,5245.68,157.24,71.74,0.3033
2019-04-30 02-PM,5261.28,156.98,72.1,0.3015
2019-04-30 01-PM,5264.77,157.55,71.62,0.3033
2019-04-30 12-PM,5252.2,157,71.6,0.3017
2019-04-30 11-AM,5210.64,157.33,71.1,0.3016
2019-04-30 10-AM,5212.8,156.4,71.62,0.3039
2019-04-30 09-AM,5180.91,155.46,70.11,0.3007
2019-04-30 08-AM,5148,155.48,68.3,0.2987
2019-04-30 07-AM,5156.15,155.12,68.12,0.2901
2019-04-30 06-AM,5145.62,154.14,68.29,0.2891
2019-04-30 05-AM,5141.62,154.4,68.18,0.2882
2019-04-30 04-AM,5135.21,153.84,67.75,0.2881
2019-04-30 03-AM,5132.11,154.48,67.54,0.288
2019-04-30 02-AM,5148.61,155.14,67.99,0.2884
2019-04-30 01-AM,5153.26,154.25,68.41,0.2888
2019-04-30 12-AM,5157.62,152.85,68.2,0.2886
2019-04-29 11-PM,5151.06,152.42,67.54,0.2881
2019-04-29 10-PM,5149.11,152.03,66.5,0.2883
2019-04-29 09-PM,5115.98,151.89,65.91,0.2863
