Date,BTC,ETH,LTC,XRP
2019-05-02 12-AM,5318.42,157.72,72.28,0.2987
2019-05-01 11-PM,5296.16,158.3,72.53,0.2988
2019-05-01 10-PM,5293.37,157.52,71.92,0.2983
2019-05-01 09-PM,5304.37,157.25,71.83,0.2987
2019-05-01 08-PM,5300.97,157.5,71.74,0.2985
2019-05-01 07-PM,5307.25,157.51,72.07,0.2975
2019-05-01 06-PM,5350.72,158.72,72.53,0.2985
2019-05-01 05-PM,5289.89,160.23,73.61,0.3015
2019-05-01 04-PM,5295.81,158.91,71.95,0.2992
2019-05-01 03-PM,5282.78,158.44,72.33,0.2994
2019-05-01 02-PM,5288.93,159.06,72.06,0.2988
2019-05-01 01-PM,5290.43,158.36,71.49,0.2976
2019-05-01 12-PM,5313.73,158.56,71.69,0.2974
2019-05-01 11-AM,5304.85,159.3,72.44,0.3003
2019-05-01 10-AM,5304.61,159.08,72.33,0.3005
2019-05-01 09-AM,5289.35,159.03,72.34,0.2995
2019-05-01 08-AM,5307.01,158.71,72.03,0.3
2019-05-01 07-AM,5320.5,160.18,72.99,0.3029
2019-05-01 06-AM,5318,160.46,73.4,0.3038
2019-05-01 05-AM,5313.34,159.77,73.31,0.3041
2019-05-01 04-AM,5316.35,159.74,72.81,0.3032
2019-05-01 03-AM,5324.55,160.66,73.2,0.3039
2019-05-01 02-AM,5301.01,160.97,73.22,0.3048
2019-05-01 01-AM,5298.3,160.77,73.21,0.3058
2019-05-01 12-AM,5269,161.4,73.8,0.3063
2019-04-30 11-PM,5284.36,160.06,73.17,0.3049
2019-04-30 10-PM,5258.95,160.48,73.88,0.307
2019-04-30 09-PM,5238.18,157.64,73.16,0.3062
2019-04-30 08-PM,5234.42,156.6,72.13,0.3049
2019-04-30 07-PM,5250.27,155.99,71.66,0.3046
2019-04-30 06-PM,5229.15,156.7,72,0.3059
2019-04-30 05-PM,5245.68,156.71,71.71,0.3043
2019-04-30 04-PM,5261.28,156.92,71.74,0.3033
2019-04-30 03-PM,5264.77,157.24,72.1,0.3015
2019-04-30 02-PM,5252.2,156.98,71.62,0.3033
2019-04-30 01-PM,5210.64,157.55,71.6,0.3017
2019-04-30 12-PM,5212.8,157,71.1,0.3016
2019-04-30 11-AM,5180.91,157.33,71.62,0.3039
2019-04-30 10-AM,5148,156.4,70.11,0.3007
2019-04-30 09-AM,5156.15,155.46,68.3,0.2987
2019-04-30 08-AM,5145.62,155.48,68.12,0.2901
2019-04-30 07-AM,5141.62,155.12,68.29,0.2891
2019-04-30 06-AM,5135.21,154.14,68.18,0.2882
2019-04-30 05-AM,5132.11,154.4,67.75,0.2881
2019-04-30 04-AM,5148.61,153.84,67.54,0.288
2019-04-30 03-AM,5153.26,154.48,67.99,0.2884
2019-04-30 02-AM,5157.62,155.14,68.41,0.2888
2019-04-30 01-AM,5151.06,154.25,68.2,0.2886
2019-04-30 12-AM,5149.11,152.85,67.54,0.2881
2019-04-29 11-PM,5115.98,152.42,66.5,0.2883
2019-04-29 10-PM,5128.07,152.03,65.91,0.2863
2019-04-29 09-PM,5130.12,151.89,65.81,0.287
2019-04-29 08-PM,5154.4,151.84,66.03,0.2873
2019-04-29 07-PM,5153.35,152.79,66.64,0.289
2019-04-29 06-PM,5147.1,152.95,66.64,0.2884
2019-04-29 05-PM,5153.02,153.71,66.48,0.2882
2019-04-29 04-PM,5139.68,153.27,66.17,0.2878
2019-04-29 03-PM,5155.93,151.21,66.25,0.2867
2019-04-29 02-PM,5144.03,151.25,66.14,0.2868
2019-04-29 01-PM,5126.01,151.11,66.2,0.2869
2019-04-29 12-PM,5154,150.75,65.64,0.286
2019-04-29 11-AM,5144,151.77,66.89,0.2891
