Cluster,SuperBowl Win,Playoff Wins,Wins,Safeties,Corners,InsideBackers,Edge,InteriorDLine,WRs,TEs,InteriorOLine,Tackles,QB,RB,Special,TotCap,Count
0,0.2,1.4,9.8,-0.10238833821244997,-1.4189122233548765,-0.11644181109805576,-0.5830244072986688,-0.17008772351503534,-0.1621170917114783,1.313730263213432,-0.3183443098389563,1.438408332853567,-0.7643669560626991,0.05868291846011135,0.37860874936239675,-0.44625259720271293,10
1,0.0,0.46153846153846156,8.076923076923077,-0.09991007245316552,-0.38975596528867035,-0.6422526385488652,0.486550742973507,-0.5586933122098947,-0.740928002097002,-0.21263674358188153,1.2457854860713797,-0.8537583510573515,0.5771837423922157,0.9110122888621055,0.006932299045367795,-0.27047052589225523,13
2,0.0,0.0,6.7272727272727275,-0.5468627629364052,1.060957915345668,0.8078792959659615,-0.3536224396842018,-0.7791148982127488,-0.03905237023264265,-0.9276938690205302,0.19932535771561563,0.6502653589369284,-1.0828477311804034,0.6465765650011711,-0.935106574920828,-1.2992961532224152,11
3,0.0,0.5454545454545454,8.454545454545455,0.08745767760022516,0.8292698957257052,-0.5049233371883268,0.1007605626459239,-0.08900348107424337,0.09198167621491757,-0.7144480400931423,-0.3396802027761573,-0.21615338912372517,-0.49370900590113354,-0.5072241260102993,1.1922534282379653,-0.5634183417422907,11
4,0.16666666666666666,1.5,9.333333333333334,1.789000525149186,0.2345590492205599,0.10957949561989712,-0.3355644269203897,-0.19851957534253406,-0.25514927670476856,1.2154229307548439,-1.7361634461494437,-0.25988944249550433,-0.2584708876097246,0.7874357882072547,0.8723323760441947,1.9645731097735717,6
5,0.0,0.1,6.4,-0.13109654923094413,-0.41951064697421586,1.4155451492080184,-0.35954440829826184,0.13894204099843463,0.7368532537003645,-0.9017360944827607,-0.6630797082556124,1.5360289215669518,-0.4876548034163653,0.2869182185969237,-0.08233098786019333,1.0693343855523398,10
6,0.0625,0.5,8.1875,-0.6978616849016329,1.2134169322288721,-0.22047232135583864,1.2648639853280939,-0.2976779872546674,-0.3176543492354382,-0.5614056260161508,-0.17817409134955567,-0.4205202915793227,1.197907249067245,-0.18408223885955405,-0.450698448730388,0.34764112734166286,16
7,0.0,0.6666666666666666,8.333333333333334,-0.1472828813637731,0.937033653611278,-0.3169051674782337,0.02861151045677184,0.9970725797130869,0.01642623018950246,0.413226679474095,-0.530083823365213,-0.0010439316448988354,0.5142915582892894,0.059813224558580715,-0.07871718791955515,1.8924424445209302,12
8,0.0,0.5833333333333334,7.083333333333333,0.1393427238653499,0.8493991523641513,0.17218999836029295,-1.3996558456275396,1.7911273893430772,-0.14567873728319636,-0.35782989955902156,-0.4238426932842351,0.4948386839689086,-0.21190760347426388,-0.4001553394923068,1.5927397153526759,2.1005675445338925,12
9,0.11764705882352941,0.8235294117647058,8.411764705882353,-0.37527317510590424,0.76184562550741,-0.6120473499917183,0.10177645581917956,-0.4932910231228705,-0.1732917589870542,1.5756168865248825,-0.3932983916246836,-0.6693070256717483,0.5364525412141588,-0.8770980840557187,0.24396721930056617,-0.3739480801935007,17
10,0.0,0.7142857142857143,10.0,0.8161794119011979,-0.9435379730109591,-0.6672349040329649,0.047556375837357855,0.0005457455536237432,2.026941427207062,0.28783753669784073,1.1559711980958796,-0.3200088243534596,1.3030940685881833,-0.9514177795398804,0.5218061852786918,3.2777324682225726,7
11,0.0,0.2857142857142857,7.571428571428571,0.5127954781026258,-0.19055279422352042,-0.4487450757368973,-1.0947968464696316,1.872356524755561,0.03447474718533595,-0.4756987202261007,0.2783882189989275,-0.031852922621473566,-0.45988219472234404,0.05863899663828413,-0.7749500425539988,-0.7198246308732321,14
12,0.0,1.1111111111111112,9.777777777777779,-0.0776618852203306,-0.658907884548797,0.45697666949963855,-1.058396329571772,1.0420613822424996,-0.8214863602935772,-0.11245503850285148,0.6154908499011051,-0.4785508582471451,0.861124724910746,-1.104652564867146,-0.39965209783354205,-1.7361093925311721,9
13,0.0,0.23076923076923078,7.846153846153846,0.5199180286376599,0.28062564331554624,0.5095459372666323,-0.27557306926549263,-0.7402020587045374,1.4366661866083692,-0.11119202812818266,0.06568665302367072,0.5924292033597662,0.6707952804246914,-0.23682407871301575,-0.34804505262514296,2.3638306451999656,13
14,0.0,0.25,9.25,1.5729045550605005,-0.7245505390659182,0.6302573039075833,1.1053897103448416,-0.2676509079863026,-0.41615454242807104,0.5937816267467984,-0.4253195023281575,-0.4337038283480205,0.7426275865990043,-0.28380994988081937,-0.49677513988801425,1.5969963727334242,12
15,0.0,0.14285714285714285,6.142857142857143,-0.4609854180129781,-0.5419004750868822,-0.20289290115402334,0.9340202101356525,-0.05200284228499516,1.2572345007779926,-0.514445172538316,0.4433803220561731,0.56975244230276,-0.6438794773720824,-0.5485984292590151,-1.1378126552808288,-0.8981298957165429,14
16,0.0,0.0,7.333333333333333,-0.9379394553339535,2.17891279091604,2.715892198869383,-0.9768944171005427,-0.9221685349196864,0.24648186376820044,-0.6440189847233712,0.4092220969972029,0.1934109801251854,1.0084458841982331,-1.0738193893543815,-1.3966678158031112,0.8008572176391984,3
17,0.0,0.47368421052631576,8.263157894736842,-0.6459727226941407,0.35200317228588923,0.5432405008423643,0.181789422990129,0.5529593362759679,-0.12167586019756053,-0.6757335665013341,-0.459841328103484,-0.9693786874034868,-0.8113438890799837,-0.07961765306804328,-0.03978761835268697,-2.1733588930063696,19
18,0.0,0.5714285714285714,8.714285714285714,-0.44513945277495726,-0.28692469944555943,-0.6437029132721382,1.7375382780731006,-0.3510190455644573,-0.45795264950703984,-0.5999495205734189,-0.33821571673827744,-0.1453394627418859,0.049392350658529545,-0.781608255631787,0.6434494923726548,-1.6194715951452363,14
19,0.07142857142857142,0.5,7.785714285714286,-0.4788781911013758,-0.4582616089047422,-0.9123068162908812,0.0886493487526526,-0.5715772911020587,0.910635728224398,0.5495917910389124,0.15365439128587388,1.5980238392736672,0.48849364819225405,-0.7625918258413757,-0.1977312809676675,0.40770173255965697,14
20,0.1111111111111111,0.6666666666666666,8.333333333333334,2.406575883391393,-0.47934028677661805,0.8415772287631202,-0.5550531750021452,-0.2700446211406973,-0.3922384114751984,-1.062702780140299,-0.43810128316343494,0.30683729473412813,0.0954492153032328,0.5777681269582908,0.3553586195457808,1.386085810997553,9
21,0.0,0.16666666666666666,7.083333333333333,-1.3496698810917338,0.6367493522396043,-0.6691780767788758,-0.7121535472808976,-0.5125649365173103,0.22618763235695305,-0.7104018013970026,-0.4335193566065602,-0.18526960847197643,-0.10888631237621502,-0.7184410030590292,-1.2792321179686252,-5.8163796569516695,12
22,0.0,0.4,8.0,-0.30651370802367256,0.3061402705173984,2.5047278322103574,0.46210350508238357,-0.931314310048655,-0.6225706908858439,0.4677806684548396,0.839004973254005,0.0645692958485363,1.1931585539986476,-1.02469121497094,-0.9660603747803365,1.98633480065672,5
23,0.125,1.0,9.5,1.2857784371685188,-0.6414183687558044,-0.6056063047098977,0.37483356461164785,-0.1847288133424496,-0.5719862986646141,0.3448823509187716,-0.21850312476476724,1.0778699888721248,-0.28751629955519076,-0.23360353531110373,-0.591714147068867,-0.2517125506016315,16
24,0.0,0.0,4.6,-0.7221737399681009,-0.9051281963386134,-0.5562600071475375,1.806076239812357,-0.39855656697172154,-0.7373653525989756,1.7976441970430048,0.11179108659484091,-0.6445929822320975,-0.5871370124588491,-0.28402910556495453,-0.17921872787984192,-1.2989501677104889,5
25,0.0,0.375,7.5,-0.4750487844774059,2.525201233915812,1.2879871974594899,-0.6679319588136103,-0.1783043775447787,0.15023292621706286,0.9509905735761973,-1.0178633154652672,-0.9944677130804588,-0.8517978476352579,-0.1008062593680009,-0.6070383946358117,0.02115328014797102,8
26,0.0,0.625,9.125,1.3789771948298661,-0.7973942117817097,-0.12158829720128081,-0.10250980328642878,-0.9494423059299293,-0.9169869808996506,1.4681939655688425,1.224227318315505,-1.1958864799479096,1.0977927022543665,1.2064305477033461,0.8170870855315726,3.10890073515659,8
27,0.0,0.7272727272727273,8.454545454545455,0.5093537740521171,-0.35983801064379495,0.7418558070048618,-0.2749606928439547,-0.2662939427820722,0.2187582596169534,0.7471916851333585,-0.18235935655100546,-0.46900590745386006,-0.9711979827275802,0.05536670664576451,0.8856274730679434,0.6344978125187309,11
28,0.05263157894736842,0.8421052631578947,9.263157894736842,-0.5130863641032142,-0.5386798306340347,0.7717980577619907,-0.04140218805563596,-0.3712479537549456,-0.4656215077020538,-0.720255207635224,-0.33257904151748896,0.05600404482380281,0.4996150177515304,1.2243765579150245,-0.5010658100115338,-0.9321442251617827,19
29,0.0,0.25,9.0,-0.3828325856963165,-1.2835476139926987,-0.39384023355349085,-0.9128181938968802,1.2668230427410563,0.9967971389347685,0.216282636712359,-0.9878798114602705,-0.1454919630541956,0.9451675631683145,-0.2759218882138412,-1.00144040715793,-1.9587023154691252,8
30,0.09090909090909091,0.45454545454545453,7.7272727272727275,-0.436620505982949,-0.4338073549803636,-0.7588817945675982,0.3228201807058966,0.7093894350433442,2.1658112310637256,-0.3891417714333248,-0.00410199468440745,-0.08329864343523755,0.094657168216148,-0.59024964118334,0.6004192225145185,1.1969955312764124,11
31,0.0,0.2222222222222222,9.666666666666666,-0.6124662277249979,0.13437629541813395,-0.2607178787034569,0.014468906073233834,-0.44694511813733345,0.6144697055200226,0.9658077945979546,0.04029688779933406,-0.6482698378960873,1.06334411744989,1.3479953942957972,-0.023337679517496268,2.189022359174994,9
32,0.0,0.4,8.2,-0.7442629560907184,0.20425882119750044,0.5299157095801135,0.33805341571465364,0.5917527869203836,-1.47392451537764,-1.1006930992226645,-0.5877497881006056,0.9743768578153807,-0.5280004597721819,-0.3938844573754579,-0.44470193283189036,-2.6348596175431265,5
33,0.0,0.0,6.636363636363637,0.1948432019492063,-0.15505160286537314,-0.7439636248912647,-0.14828503973189627,0.06830324760487201,-0.575752118393219,0.2245626825710564,0.5334738533570211,1.3845923277349053,-0.4798271739494396,1.6789220384221584,-0.2540589149663988,1.727758876841628,11
34,0.0,0.8,9.2,1.3261314594870641,-0.9479316174086357,0.133925899444859,0.19539372497019797,-0.6406003539489509,0.3974869421228696,-0.710786805462056,2.3039761124374043,0.3877985426371821,0.05077311911050651,1.6114250033326434,-0.8865229785734314,3.2210690481496522,5
35,0.0,0.2,8.2,-1.0683682287576084,1.3884429061948245,-0.4975201053589926,-0.3946274718547431,-0.6357695084560255,-0.9689709112029355,0.7785696440007385,-0.21397873345328589,1.4614043935662275,0.8635644584233557,-0.9809807220135616,-0.43720241684990196,-0.7054366957619085,5
36,0.0,0.16666666666666666,8.5,-0.8781165442564729,-0.4548627708399448,-0.05103039406195071,0.3978730990328388,0.2800194843111548,-0.03910618954158617,1.504425624659067,-0.10100488616796742,-0.5129497999458523,0.4547156096078601,1.3775787032825058,1.6346736324723932,3.6122155685520454,6
37,0.0,0.0,6.857142857142857,-0.6140282610838196,-1.0753600694150582,-0.5187694683262587,-0.5570566502630552,0.6950371246629121,-1.115321194560327,1.5611253462420245,0.3510474285753688,-0.6793805045356044,-1.4890655093705365,0.45351283237516593,-0.4710734129674348,-3.459332338666623,7
38,0.0,0.0,5.363636363636363,-0.5753347778230364,-0.935353547909099,-0.3816411576782405,-0.4982832448369683,-0.8059831681824804,-1.360074613518953,-0.21723793633062882,-0.4706591500230917,-0.8710441542472379,-0.5015245793924188,-0.09583613498260654,-0.001728322290977305,-6.714700787215738,11
39,0.0,0.0,6.0,-0.05499334481116436,0.23974877614331264,-0.06320535836763586,-1.3436307051377898,2.3907594576039184,0.06680321304912969,-0.9921000405257389,-1.6701359810721674,-0.7843594632556429,0.2746192120350235,1.3722092253091323,3.0371838873871675,2.4728988783575447,4
40,0.16666666666666666,1.3333333333333333,8.833333333333334,-0.035886655293346253,0.06443066367055003,2.386101705887468,0.2906803824069104,-0.46034109054418637,-0.2634011178527426,0.13418384996535698,1.5658513105319,-0.5830973211576451,-0.4596167666485031,-0.4675553151031568,-0.7313911662872387,1.4399584795753664,6
41,0.125,0.875,8.625,2.0589923163565578,-0.3863404931724846,-0.6554903420315193,-0.2782982318454068,-0.1873369579098116,0.9144247893720026,-0.7456485233157634,-0.5058289345814101,-0.41153974003911536,-1.1917367143355824,-0.6848884985203049,-0.3999048857325258,-2.473596215755364,8
42,0.0,0.16666666666666666,7.333333333333333,-0.6302083792028796,-1.186541847719595,-1.094524405204835,1.032679562188117,0.24011487430730002,-1.3055061383357778,-0.060766709154229145,-0.4502061682237583,-0.6310921270607601,-0.9829902455782915,1.9121959563576478,-0.7360945434766485,-3.8929401711037106,6
43,0.0,0.0,7.333333333333333,-0.004812588870164675,0.46025182307804974,-0.2187582449858338,-0.27511118959644904,0.8618636102716554,0.5060626282167316,-0.015414266766829278,1.9877127383681636,0.522508403186656,-0.7514203744811501,0.017253180411155044,1.626142111135505,4.716277829967489,9
44,0.0,0.13333333333333333,6.733333333333333,-0.2635505973592064,0.36371374550459734,0.3951761810796868,-0.7803608045851688,-0.434539585161125,-0.45954517499420267,-0.09574843417817189,-0.08826840570473762,0.46761938843438594,0.7478652483186977,-0.7259203404775806,1.0675528563170102,0.19399407719418527,15
45,0.0,0.0,6.0,-0.1640340713190647,2.126570490650564,1.6808584825825514,-0.4357296176664844,-0.6186363291185253,0.13247693240876954,-0.7251435599628256,-0.9280892715626653,2.185781956444059,-0.4533734805090514,-0.7509673803561767,2.2715462317851505,4.321260383376302,2
46,0.0,0.2857142857142857,7.285714285714286,-0.0712112136822961,0.4392464558796808,-1.2124152988926495,0.4923376666090899,1.5838537367600924,0.24078410128197156,-0.5142928764238918,0.08629119062337026,-1.1006012308436206,-1.0989525260692967,0.9096757901264899,0.04576373483094664,-0.19952046980011318,7
47,0.0,0.16666666666666666,6.833333333333333,0.3603710596619707,1.1121541262567398,0.34726641320624746,1.5505552795538495,-1.302255631291287,1.0613175946438729,-0.34491883513813454,-0.27664219583690475,-0.690519680769506,-1.3848180393591154,0.6941398529622668,-0.43097462820119076,0.6956753156888091,6
48,0.0,0.0,8.0,0.08555296025174006,0.8847425411421068,-0.46167656327741696,-0.6518211934802352,4.19081824992099,-1.0502203083685198,2.9553878751371228,2.112035863576484,0.5552629237499326,-1.51265640698291,1.0584054371421718,2.9189724498085052,11.08480382861997,1
49,0.0,0.25,7.5,1.0185692162299305,0.003996499910236937,0.0896819400993785,-0.20044125384718928,-0.5989607819136449,-0.054576548982288156,-0.6025980489284487,2.1915142962833407,-0.503424996743932,1.0608214133781957,-0.4792741290486976,0.7389374036417247,2.6642450100786066,8
