AAV,Age,CapPerc,Dollars,From,Player,Position,To,Year,Years
665000.0,26,0.55,1330000.0,SEA,Mike Gibson,C,PHI,2012.0,2.0
1325000.0,33,1.1,1325000.0,NE,Deion Branch,WR,NE,2012.0,1.0
1300000.0,25,1.08,1300000.0,CHI,Amobi Okoye,DT,TB,2012.0,1.0
1300000.0,25,1.08,1300000.0,IND,Jacob Lacey,CB,DET,2012.0,1.0
1300000.0,32,1.08,1300000.0,WAS,Rex Grossman,QB,WAS,2012.0,1.0
1272000.0,28,1.05,1272000.0,TEN,Dave Ball,DE,TEN,2012.0,1.0
1260000.0,27,1.04,1260000.0,DEN,Steven Hauschka,K,SEA,2012.0,1.0
1260000.0,25,1.04,1260000.0,CHI,Kahlil Bell,RB,CHI,2012.0,1.0
1260000.0,25,1.04,1260000.0,NO,Jonathan Casillas,OLB,NO,2012.0,1.0
1260000.0,25,1.04,1260000.0,DET,Sammie Lee Hill,DT,DET,2012.0,1.0
1260000.0,26,1.04,1260000.0,PIT,Keenan Lewis,CB,PIT,2012.0,1.0
1260000.0,27,1.04,1260000.0,PIT,Ryan Mundy,SS,PIT,2012.0,1.0
1260000.0,28,1.04,1260000.0,DEN,Matt Willis,WR,DEN,2012.0,1.0
1260000.0,27,1.04,1260000.0,DET,Corey Hilliard,RT,DET,2012.0,1.0
1260000.0,27,1.04,1260000.0,SF,Larry Grant,LB,SF,2012.0,1.0
1260000.0,27,1.04,1260000.0,SD,Brandyn Dombrowski,G,SD,2012.0,1.0
1260000.0,26,1.04,1260000.0,PIT,Doug Legursky,C,PIT,2012.0,1.0
1260000.0,25,1.04,1260000.0,PIT,David Johnson,TE,PIT,2012.0,1.0
1260000.0,26,1.04,1260000.0,JAC,William Middleton,CB,JAC,2012.0,1.0
1260000.0,26,1.04,1260000.0,PIT,Ramon Foster,G,PIT,2012.0,1.0
1260000.0,25,1.04,1260000.0,JAC,Courtney Greene,S,JAC,2012.0,1.0
1260000.0,27,1.04,1260000.0,ARI,Greg Toler,CB,ARI,2012.0,1.0
1260000.0,27,1.04,1260000.0,WAS,Kory Lichtensteiger,C,WAS,2012.0,1.0
1250000.0,28,1.04,1250000.0,DET,Drew Stanton,QB,NYJ,2012.0,1.0
1225000.0,29,1.02,1225000.0,CHI,Frank Omiyale,T,SEA,2012.0,1.0
1200000.0,32,1.0,1200000.0,MIN,Visanthe Shiancoe,TE,NE,2012.0,1.0
1200000.0,26,1.0,1200000.0,PHI,King Dunlap,LT,PHI,2012.0,1.0
585000.0,26,0.49,1170000.0,DET,Keiland Williams,RB,WAS,2012.0,2.0
585000.0,25,0.49,1170000.0,NE,Matt Tennant,G,PHI,2012.0,2.0
1150000.0,28,0.95,1150000.0,OAK,Trevor Scott,DE,NE,2012.0,1.0
557500.0,24,0.46,1115000.0,DET,Aaron Berry,CB,NYJ,2012.0,2.0
1100000.0,28,0.91,1100000.0,PHI,Derek Landri,DT,PHI,2012.0,1.0
510000.0,24,0.42,1020000.0,JAC,Kevin Rutland,CB,JAC,2012.0,2.0
510000.0,24,0.42,1020000.0,NE,Terrell McClain,DT,HOU,2012.0,2.0
510000.0,25,0.42,1020000.0,NE,Thomas Austin,C,CAR,2012.0,2.0
1020000.0,26,0.85,1020000.0,KC,Barry Richardson,LT,STL,2012.0,1.0
1015000.0,24,0.84,1015000.0,NYJ,Aaron Maybin,OLB,NYJ,2012.0,1.0
1000000.0,36,0.83,1000000.0,DAL,Keith Brooking,LB,DEN,2012.0,1.0
1000000.0,30,0.83,1000000.0,PHI,Ronnie Brown,RB,SD,2012.0,1.0
1000000.0,35,0.83,1000000.0,ARI,Clark Haggans,LB,ARI,2012.0,1.0
1000000.0,36,0.83,1000000.0,NYG,Brandon Stokley,WR,DEN,2012.0,1.0
1000000.0,33,0.83,1000000.0,STL,Justin Bannan,DT,DEN,2012.0,1.0
1000000.0,31,0.83,1000000.0,SEA,Marcus Trufant,CB,SEA,2012.0,1.0
1000000.0,34,0.83,1000000.0,MIA,Will Allen,S,NE,2012.0,1.0
1000000.0,27,0.83,1000000.0,NO,Turk McBride,DE,NO,2012.0,1.0
990000.0,34,0.82,990000.0,ARI,Russ Hochstein,G,KC,2012.0,1.0
990000.0,33,0.82,990000.0,TEN,Daniel Graham,TE,NO,2012.0,1.0
990000.0,31,0.82,990000.0,TEN,Chris Hope,S,ATL,2012.0,1.0
990000.0,34,0.82,990000.0,SF,Moran Norris,RB,HOU,2012.0,1.0
990000.0,34,0.82,990000.0,BAL,Shayne Graham,K,HOU,2012.0,1.0
990000.0,36,0.82,990000.0,HOU,Neil Rackers,K,WAS,2012.0,1.0
990000.0,37,0.82,990000.0,PIT,Charlie Batch,QB,PIT,2012.0,1.0
990000.0,35,0.82,990000.0,ATL,Todd McClure,C,ATL,2012.0,1.0
990000.0,33,0.82,990000.0,NYG,David Carr,QB,NYG,2012.0,1.0
990000.0,31,0.82,990000.0,NE,Tracy White,LB,NE,2012.0,1.0
950000.0,33,0.79,950000.0,DET,Leonard Davis,G,SF,2012.0,1.0
950000.0,32,0.79,950000.0,OAK,Rock Cartwright,RB,SF,2012.0,1.0
925000.0,35,0.77,925000.0,NYJ,Plaxico Burress,WR,PIT,2012.0,1.0
925000.0,31,0.77,925000.0,NE,Jabar Gaffney,WR,MIA,2012.0,1.0
925000.0,33,0.77,925000.0,NE,Andre Carter,DE,OAK,2012.0,1.0
925000.0,36,0.77,925000.0,BUF,Brian Moorman,P,DAL,2012.0,1.0
925000.0,33,0.77,925000.0,NYG,Rocky Bernard,DT,NYG,2012.0,1.0
925000.0,34,0.77,925000.0,MIA,Chad Johnson,WR,MIA,2012.0,1.0
925000.0,36,0.77,925000.0,ARI,Vonnie Holliday,DT,ARI,2012.0,1.0
925000.0,33,0.77,925000.0,CLE,Shaun Rogers,DT,NO,2012.0,1.0
925000.0,42,0.77,925000.0,NO,John Kasay,K,NO,2012.0,1.0
925000.0,36,0.77,925000.0,ATL,Joe Zelenka,LS,ATL,2012.0,1.0
925000.0,28,0.77,925000.0,CIN,Adam-Pacman Jones,CB,CIN,2012.0,1.0
925000.0,35,0.77,925000.0,OAK,ooper Carlisle,G,OAK,2012.0,1.0
915000.0,28,0.76,915000.0,ATL,James Sanders,S,ARI,2012.0,1.0
900000.0,27,0.75,900000.0,TEN,William Hayes,DE,STL,2012.0,1.0
900000.0,33,0.75,900000.0,NYJ,Bryan Thomas,LB,NYJ,2012.0,1.0
890000.0,29,0.74,890000.0,NYJ,Jim Leonhard,S,DEN,2012.0,1.0
890000.0,29,0.74,890000.0,STL,illy Bajema,TE,BAL,2012.0,1.0
890000.0,32,0.74,890000.0,NO,Aubrayo Franklin,DT,SD,2012.0,1.0
890000.0,32,0.74,890000.0,DEN,Mario Haggan,LB,STL,2012.0,1.0
890000.0,30,0.74,890000.0,ARI,Rex Hadnot,G,SD,2012.0,1.0
890000.0,31,0.74,890000.0,DAL,Bradie James,LB,HOU,2012.0,1.0
890000.0,31,0.74,890000.0,WAS,Sean Locklear,T,NYG,2012.0,1.0
890000.0,30,0.74,890000.0,SF,Madieu Williams,S,WAS,2012.0,1.0
890000.0,29,0.74,890000.0,TEN,Barrett Ruud,LB,SEA,2012.0,1.0
890000.0,32,0.74,890000.0,STL,Donnie Jones,P,HOU,2012.0,1.0
890000.0,29,0.74,890000.0,ARI,Sean Considine,S,BAL,2012.0,1.0
890000.0,21,0.74,890000.0,DET,Will Heller,TE,DET,2012.0,1.0
890000.0,31,0.74,890000.0,DET,Don Muhlbach,LS,DET,2012.0,1.0
890000.0,38,0.74,890000.0,DET,Ben Graham,P,DET,2012.0,1.0
890000.0,30,0.74,890000.0,DET,Erik Coleman,S,DET,2012.0,1.0
875000.0,33,0.73,875000.0,CHI,Josh McCown,QB,CHI,2012.0,1.0
435000.0,25,0.36,870000.0,PHI,Kyle Nelson,LS,SD,2012.0,2.0
855005.0,33,0.71,855005.0,STL,Josh Brown,K,NYJ,2012.0,1.0
850000.0,30,0.7,850000.0,DAL,Abram Elam,S,KC,2012.0,1.0
850000.0,30,0.7,850000.0,CLE,Alex Smith,TE,CLE,2012.0,1.0
825000.0,29,0.68,825000.0,KC,Stanford Routt,CB,HOU,2012.0,1.0
825000.0,31,0.68,825000.0,TEN,Jake Scott,G,PHI,2012.0,1.0
825000.0,32,0.68,825000.0,OAK,Chris Johnson,CB,BAL,2012.0,1.0
825000.0,30,0.68,825000.0,WAS,hris Cooley,TE,WAS,2012.0,1.0
825000.0,23,0.68,825000.0,DET,Chris Harris,S,JAC,2012.0,1.0
825000.0,32,0.68,825000.0,JAC,Kassim Osgood,WR,DET,2012.0,1.0
825000.0,29,0.68,825000.0,CIN,Cedric Benson,RB,GB,2012.0,1.0
825000.0,29,0.68,825000.0,SF,Braylon Edwards,WR,SEA,2012.0,1.0
825000.0,31,0.68,825000.0,WAS,Oshiomogho Atogwe,S,PHI,2012.0,1.0
825000.0,30,0.68,825000.0,PIT,welde Moore,RB,IND,2012.0,1.0
825000.0,31,0.68,825000.0,JAC,Luke McCown,QB,NO,2012.0,1.0
825000.0,33,0.68,825000.0,WAS,Maake Kemoeatu,DT,BAL,2012.0,1.0
825000.0,32,0.68,825000.0,PIT,Byron Leftwich,QB,PIT,2012.0,1.0
825000.0,29,0.68,825000.0,OAK,Matt Giordano,S,OAK,2012.0,1.0
825000.0,29,0.68,825000.0,NYG,Chase Blackburn,OLB,NYG,2012.0,1.0
825000.0,33,0.68,825000.0,DAL,Terence Newman,CB,CIN,2012.0,1.0
825000.0,29,0.68,825000.0,BAL,hris Carr,CB,MIN,2012.0,1.0
825000.0,29,0.68,825000.0,ATL,Kelvin Hayden,CB,CHI,2012.0,1.0
825000.0,29,0.68,825000.0,SEA,Anthony Hargrove,DE,GB,2012.0,1.0
825000.0,31,0.68,825000.0,BUF,Bryan Scott,OLB,BUF,2012.0,1.0
825000.0,30,0.68,825000.0,SF,hawntae Spencer,CB,OAK,2012.0,1.0
825000.0,29,0.68,825000.0,CAR,Derek Anderson,QB,CAR,2012.0,1.0
825000.0,35,0.68,825000.0,ATL,Chris Redman,QB,ATL,2012.0,1.0
790000.0,29,0.66,790000.0,WAS,Kedric Golston,DT,WAS,2012.0,1.0
775000.0,29,0.64,775000.0,DET,Bobby Carpenter,LB,NE,2012.0,1.0
765000.0,27,0.63,765000.0,NYJ,Nick Folk,K,NYJ,2012.0,1.0
765000.0,26,0.63,765000.0,NE,ary Guyton,OLB,MIA,2012.0,1.0
765000.0,27,0.63,765000.0,MIN,Tyrell Johnson,S,MIA,2012.0,1.0
765000.0,25,0.63,765000.0,SF,Reggie Smith,S,CAR,2012.0,1.0
765000.0,26,0.63,765000.0,SF,ntwan Applewhite,DE,CAR,2012.0,1.0
765000.0,25,0.63,765000.0,DET,Kevin Smith,RB,DET,2012.0,1.0
765000.0,27,0.63,765000.0,MIA,Andre Fluellen,DT,DET,2012.0,1.0
765000.0,26,0.63,765000.0,OAK,Chaz Schilens,WR,NYJ,2012.0,1.0
750000.0,29,0.62,750000.0,GB,Ryan Grant,RB,WAS,2012.0,1.0
725000.0,27,0.6,725000.0,GB,Erik Walden,OLB,GB,2012.0,1.0
725000.0,28,0.6,725000.0,KC,Leonard Pope,TE,PIT,2012.0,1.0
725000.0,27,0.6,725000.0,MIA,arvin Mitchell,OLB,MIN,2012.0,1.0
725000.0,28,0.6,725000.0,NE,Jonathan Wilhite,CB,CHI,2012.0,1.0
710000.0,29,0.59,710000.0,STL,Kellen Clemens,QB,STL,2012.0,1.0
700000.0,29,0.58,700000.0,GB,Charlie Peprah,S,DAL,2012.0,1.0
700000.0,27,0.58,700000.0,CHI,Xavier Adibi,LB,TEN,2012.0,1.0
700000.0,28,0.58,700000.0,DET,Justin Miller,CB,DET,2012.0,1.0
700000.0,29,0.58,700000.0,DAL,Pat McQuistan,RT,ARI,2012.0,1.0
700000.0,28,0.58,700000.0,BUF,Shawne Merriman,LB,BUF,2012.0,1.0
700000.0,29,0.58,700000.0,SD,Micheal Spurlock,WR,JAC,2012.0,1.0
700000.0,27,0.58,700000.0,DEN,Jason Hill,WR,NYJ,2012.0,1.0
