Airline,Origin,Destination,Delay
WN,MSY,LGA,10.33
WN,BNA,BUR,10.32
WN,OAK,LAX,10.31
WN,DAL,LAX,10.29
WN,DAL,OKC,10.27
WN,SJC,SEA,10.23
WN,DAL,ATL,10.2
WN,MDW,BUF,10.19
WN,MCO,OKC,10.18
WN,HOU,ECP,10.16
WN,OAK,MCO,10.16
WN,DAL,SEA,10.14
WN,PHX,SAT,10.13
WN,FLL,IAD,10.09
WN,LGA,MSY,10.08
WN,PHX,SEA,10.08
WN,DAL,PIT,10.06
WN,TPA,DCA,10.06
WN,FLL,DCA,10.05
WN,DAL,MCO,10.03
WN,DAL,LIT,10.01
WN,RDU,PHX,9.97
WN,HOU,CHS,9.97
WN,DAL,SLC,9.96
WN,MSY,OAK,9.95
WN,MCO,SJU,9.95
WN,RSW,DAL,9.93
WN,BNA,LGA,9.91
WN,ATL,OAK,9.9
WN,ELP,LAX,9.89
WN,BNA,CLT,9.88
WN,TPA,MEM,9.88
WN,CMH,DCA,9.87
WN,LAX,MSY,9.85
WN,MDW,FLL,9.81
WN,FLL,CMH,9.8
WN,LAX,STL,9.79
WN,SEA,MKE,9.78
WN,DAL,HOU,9.77
WN,FLL,SJU,9.77
WN,HOU,MKE,9.75
WN,MDW,MCO,9.74
WN,BOS,IND,9.74
WN,TPA,PHX,9.72
WN,IND,BOS,9.72
WN,HOU,SLC,9.71
WN,MDW,TPA,9.7
WN,PBI,PHL,9.69
WN,AUS,SNA,9.69
WN,DAL,MEM,9.69
WN,DCA,AUS,9.68
WN,FLL,PHX,9.67
WN,DAL,ELP,9.66
WN,PWM,MCO,9.64
WN,DAL,RDU,9.62
WN,ATL,RDU,9.61
WN,SAT,MSY,9.61
WN,OAK,SEA,9.6
WN,DEN,CLE,9.57
WN,SAN,ELP,9.56
WN,DAL,BOS,9.55
WN,MDW,LAX,9.52
WN,ATL,RSW,9.52
WN,ATL,SAT,9.52
WN,TPA,LAX,9.51
WN,DAL,MKE,9.5
WN,STL,SMF,9.5
WN,SFO,DAL,9.5
WN,HNL,OGG,9.47
