word,disgust,surprise,neutral,anger,sad,happy,fear
impatience , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
impatient , 4.578755E-4 , 0.0050366307 , 4.578755E-4 , 0.09844323 , 0.0022893776 , 0.0032051285 , 0.035256412
impatiently , 0.010204082 , 0.010204082 , 0.010204082 , 0.091836736 , 0.030612247 , 0.030612247 , 0.010204082
impending , 0.008928572 , 0.026785716 , 0.008928572 , 0.008928572 , 0.026785716 , 0.026785716 , 0.08035715
imperfect , 0.011904763 , 0.011904763 , 0.011904763 , 0.011904763 , 0.011904763 , 0.035714287 , 0.107142866
imperfection , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575
imperial , 0.023809526 , 0.023809526 , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526 , 0.023809526
imperiousness , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
impersonal , 0.014285715 , 0.014285715 , 0.014285715 , 0.1 , 0.014285715 , 0.042857148 , 0.014285715
impersonator , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
impertinently , 1.3869627E-4 , 1.3869627E-4 , 1.3869627E-4 , 0.14271845 , 1.3869627E-4 , 1.3869627E-4 , 1.3869627E-4
impervious , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
impetuous , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
impish , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
implant , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575
implement , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.071428575
implemented , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526
implicated , 0.05952381 , 0.011904763 , 0.011904763 , 0.083333336 , 0.011904763 , 0.011904763 , 0.011904763
