,ID,Player,Team,G,GS,MPG,FGP,X3pp,FTP,A_OFF,A_DEF,A_TOT,APG,SPG,BPG,A_TO,A_PF,PPG,MIN,FGM,FGA,X3PM,X3PA,FTM,FTA,OFF,DEF,TOT,AST,STL,BLK,TO,PF,PTS,Region,Salary,kcuti$cluster
,,,,Austin Daye (TOT),16,39.50%,0.4,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Beno Udrih,7,50.00%,0.4,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bernard James,29,47.80%,0.1,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Damion James,1,0.00%,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Darius Miller,39,43.00%,0.7,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Devin Harris,35,38.60%,4.1,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gal Mekel,31,34.90%,2,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Greg Smith,11,64.30%,0,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Isaiah Canaan,17,32.10%,0.6,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jamaal Franklin,19,34.30%,0.3,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jason Smith,31,46.50%,0.9,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jordan Hamilton,17,38.50%,0.8,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Luke Babbitt,22,36.10%,0.8,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Quincy Pondexter,15,39.20%,1.3,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ricky Ledo,11,35.30%,0.2,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Robert Covington,5,44.40%,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ryan Anderson,22,43.80%,0.8,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Troy Daniels,2,50.00%,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,64.95,48.43%,2.15,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al-Farouq Aminu,74,48.20%,1.4,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Anthony Davis,66,52.30%,1.6,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
