Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
WN,EWR,IND,14.92,40.69250107,-74.16870117,39.7173,-86.294403
WN,MCO,BOS,14.88,28.42939949,-81.30899811,42.36429977,-71.00520325
WN,STL,EWR,14.77,38.748697,-90.370003,40.69250107,-74.16870117
WN,PNS,STL,14.33,30.47340012,-87.18659973,38.748697,-90.370003
WN,PDX,BWI,14.31,45.58869934,-122.5979996,39.1754,-76.668297
WN,EWR,STL,14.27,40.69250107,-74.16870117,38.748697,-90.370003
WN,LAX,ELP,14.05,33.94250107,-118.4079971,31.80719948,-106.3779984
WN,DEN,GRR,14.01,39.86169815,-104.6729965,42.88079834,-85.52279663
WN,HOU,JAX,14,29.64539909,-95.27890015,30.49410057,-81.68789673
WN,FLL,RDU,13.97,26.072599,-80.152702,35.87760162,-78.78749847
WN,HOU,LBB,13.96,29.64539909,-95.27890015,33.663601,-101.822998
WN,DAL,CMH,13.92,32.847099,-96.851799,39.998001,-82.891899
WN,MCO,OMA,13.88,28.42939949,-81.30899811,41.3032,-95.894096
WN,FLL,PHL,13.71,26.072599,-80.152702,39.87189865,-75.2410965
WN,DEN,SDF,13.64,39.86169815,-104.6729965,38.1744,-85.736
WN,DEN,LGA,13.62,39.86169815,-104.6729965,40.77719879,-73.87259674
WN,SFO,DEN,13.43,37.61899948,-122.375,39.86169815,-104.6729965
WN,STL,SLC,13.4,38.748697,-90.370003,40.78839874,-111.9779968
WN,SFO,SAN,13.36,37.61899948,-122.375,32.73360062,-117.1900024
WN,LAX,PIT,13.36,33.94250107,-118.4079971,40.49150085,-80.23290253
WN,PBI,PVD,13.34,26.68320084,-80.09559631,41.732601,-71.420403
WN,DAL,SDF,13.32,32.847099,-96.851799,38.1744,-85.736
WN,STL,SFO,13.3,38.748697,-90.370003,37.61899948,-122.375
WN,RSW,CLE,13.21,26.53619957,-81.75520325,41.4117012,-81.84980011
WN,LAX,ABQ,13.19,33.94250107,-118.4079971,35.040199,-106.609001
WN,MCO,SMF,13.07,28.42939949,-81.30899811,38.69540024,-121.5910034
WN,LAS,BHM,12.99,36.08010101,-115.1520004,33.56290054,-86.75350189
WN,AUS,EWR,12.97,30.19449997,-97.66989899,40.69250107,-74.16870117
WN,PNS,DEN,12.94,30.47340012,-87.18659973,39.86169815,-104.6729965
WN,PDX,SFO,12.89,45.58869934,-122.5979996,37.61899948,-122.375
WN,MDW,RNO,12.88,41.785999,-87.752403,39.49909973,-119.7679977
WN,DAL,ONT,12.87,32.847099,-96.851799,34.05599976,-117.6009979
WN,EWR,AUS,12.83,40.69250107,-74.16870117,30.19449997,-97.66989899
WN,LAS,EWR,12.7,36.08010101,-115.1520004,40.69250107,-74.16870117
WN,LGA,MCI,12.68,40.77719879,-73.87259674,39.2976,-94.713898
WN,MDW,SJU,12.66,41.785999,-87.752403,18.43939972,-66.00180054
WN,PDX,AUS,12.64,45.58869934,-122.5979996,30.19449997,-97.66989899
WN,DAL,SMF,12.63,32.847099,-96.851799,38.69540024,-121.5910034
WN,HOU,OMA,12.49,29.64539909,-95.27890015,41.3032,-95.894096
WN,LAS,FLL,12.47,36.08010101,-115.1520004,26.072599,-80.152702
WN,SFO,LAS,12.42,37.61899948,-122.375,36.08010101,-115.1520004
WN,LGA,TPA,12.41,40.77719879,-73.87259674,27.97550011,-82.53320313
WN,PHL,PHX,12.35,39.87189865,-75.2410965,33.43429947,-112.012001
WN,OKC,MCO,12.32,35.39310074,-97.60070038,28.42939949,-81.30899811
WN,TPA,SJU,12.29,27.97550011,-82.53320313,18.43939972,-66.00180054
WN,MSY,DCA,12.26,29.99340057,-90.25800323,38.8521,-77.037697
WN,LAS,LAX,12.25,36.08010101,-115.1520004,33.94250107,-118.4079971
WN,DCA,CMH,12.22,38.8521,-77.037697,39.998001,-82.891899
WN,HOU,RDU,12.18,29.64539909,-95.27890015,35.87760162,-78.78749847
WN,ATL,LGA,12.15,33.6367,-84.428101,40.77719879,-73.87259674
WN,CLT,DAL,12.1,35.2140007,-80.94309998,32.847099,-96.851799
WN,HOU,BUR,12.08,29.64539909,-95.27890015,34.20069885,-118.3590012
WN,SNA,ABQ,12.06,33.67570114,-117.8679962,35.040199,-106.609001
WN,DEN,BOS,12.04,39.86169815,-104.6729965,42.36429977,-71.00520325
WN,LAS,BDL,12.03,36.08010101,-115.1520004,41.93889999,-72.68319702
WN,ATL,PBI,12.02,33.6367,-84.428101,26.68320084,-80.09559631
WN,STL,BOS,12.01,38.748697,-90.370003,42.36429977,-71.00520325
